id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
3642,4,3,3,4,2,3,3
3646,4,3,3,4,3,5,3
3647,4,3,2,3,3,3,3
3648,2,4,3,4,3,3,3
3649,5,5,2,2,4,4,4
3650,2,1,5,4,3,3,3
3655,4,2,2,2,3,5,2
3660,5,1,1,4,4,4,3
3661,3,2,3,4,4,4,3
3666,3,4,2,4,4,3,3
3686,4,5,3,5,4,4,2
3687,3,3,2,3,4,3,3
3688,5,4,3,2,4,3,3
3690,4,5,4,2,4,4,3
3694,4,5,2,5,5,3,3
3695,5,5,4,4,4,3,3
3696,2,5,5,5,5,3,3
3697,3,4,5,3,4,4,2
3706,5,5,3,3,3,4,3
3707,5,3,2,3,2,3,4
3708,4,5,4,3,4,4,3
3712,3,2,1,4,4,3,3
3744,2,2,3,5,4,4,3
3745,5,4,2,4,3,3,3
3746,3,3,4,5,4,4,3
3748,2,4,2,2,3,3,3
3749,2,4,2,2,3,3,3
3750,4,4,3,4,5,3,3
3770,5,4,2,3,3,4,2
3795,5,5,4,4,3,4,5
3857,5,5,2,4,3,3,4
3865,5,2,4,2,2,3,3
3882,4,4,2,3,3,4,3
3890,3,2,3,2,4,3,4
3891,4,2,3,3,4,2,2
3906,5,5,3,2,3,3,2
3929,4,4,3,3,4,3,3
3935,4,3,1,4,4,5,3
3943,5,4,4,4,3,4,4
3945,3,4,2,4,3,2,3
3946,5,3,4,3,4,5,3
3947,5,4,3,4,3,4,3
3948,4,4,5,4,4,3,3
3968,5,4,2,3,3,3,3
3971,4,4,2,4,4,3,3
3973,4,3,2,3,3,4,3
3974,3,3,1,3,2,3,3
3976,4,3,3,4,4,4,3
3978,5,5,3,3,3,3,4
3995,5,3,2,3,3,5,2
3996,3,3,2,3,3,4,2
4007,5,5,5,4,5,3,2
4008,5,5,5,4,4,3,2
4009,5,5,5,4,4,3,3
4037,4,3,1,5,3,4,2
4038,2,4,3,4,3,4,3
4039,5,4,4,5,5,3,3
4040,1,3,4,3,3,3,2
4041,1,2,2,1,3,3,2
4043,2,3,3,3,3,4,2
4045,4,4,3,4,3,4,3
4046,1,3,3,3,3,4,2
4060,3,3,3,4,4,5,3
4062,2,5,4,4,2,3,3
4073,3,3,2,2,2,3,3
4075,3,5,2,4,3,3,3
4111,5,3,3,3,4,5,2
4115,5,3,4,4,5,3,3
4116,5,3,3,4,3,4,3
4136,5,4,4,3,4,3,3
4138,2,5,5,5,5,3,2
4153,5,4,3,3,4,4,3
4182,3,4,1,4,5,4,3
4185,5,5,1,4,5,3,3
4214,2,3,3,3,3,5,3
4221,5,4,3,5,4,3,3
4246,3,1,1,2,3,3,4
4281,4,4,2,3,3,3,2
4282,4,3,5,4,3,4,2
4283,5,5,5,2,5,3,3
4284,5,5,5,5,5,3,3
4285,5,5,5,5,3,3,3
4286,5,5,5,4,5,3,3
4291,5,4,3,4,4,4,2
4292,5,3,3,4,4,4,3
4293,4,3,4,4,4,3,2
4294,5,3,4,4,4,3,2
4313,5,3,4,4,4,3,3
4314,4,4,4,4,4,3,3
4315,4,4,4,4,4,3,3
4316,5,3,2,4,4,4,3
4317,3,4,2,3,3,3,3
4319,3,3,5,5,4,3,3
4320,5,3,5,5,4,3,4
4331,1,2,2,4,3,3,3
4334,5,2,2,3,3,3,3
4335,4,4,2,4,4,3,3
4337,5,4,2,5,5,3,2
4344,2,5,4,2,2,2,2
4348,2,4,5,5,4,4,3
4349,5,4,4,5,5,3,3
4352,3,3,4,5,4,3,4
4361,3,5,3,5,5,4,4
4372,5,4,3,4,4,3,2
4397,5,5,5,4,3,3,3
4398,5,3,3,3,3,4,3
4443,5,3,3,4,4,4,3
4446,3,2,2,4,3,4,3
4463,5,5,2,4,3,4,3
4487,3,5,2,1,3,5,2
4508,5,5,2,4,3,3,2
4515,5,1,3,3,3,4,2
4531,5,4,2,4,5,3,3
4546,3,3,3,3,3,3,3
4547,4,3,1,4,4,3,3
4548,3,3,4,4,3,3,3
4551,3,3,4,3,4,4,2
4574,5,3,4,4,4,3,3
4585,5,4,1,4,3,4,3
4592,5,5,1,4,4,4,3
4593,5,4,3,4,4,5,2
4611,5,4,3,4,5,3,2
4629,3,4,3,4,4,4,3
