id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
3295,3,3,3,5,4,3,3
3383,4,4,5,5,5,3,3
3403,5,5,4,5,4,3,3
3421,5,5,5,5,4,3,3
3422,3,3,5,3,2,3,3
3423,4,5,3,4,3,3,3
3424,4,5,4,4,4,3,3
3425,4,5,3,3,3,3,3
3462,5,4,5,5,5,3,3
3536,4,5,5,3,5,3,3
3537,4,5,5,5,4,3,3
3538,5,5,5,5,5,3,3
3539,5,5,5,5,5,3,3
3560,3,4,4,5,4,3,3
3573,5,5,5,5,4,3,3
3621,3,3,4,3,3,3,3
3629,5,5,4,5,5,3,3
3633,4,5,3,5,4,3,3
3634,4,5,4,5,4,3,3
3642,5,3,3,5,2,3,3
3646,4,3,3,5,4,3,3
3647,5,5,3,5,5,3,3
3648,4,4,4,5,5,3,3
3649,5,4,5,3,5,3,3
3650,3,3,5,4,5,3,3
3655,5,4,3,3,4,3,2
3660,5,3,2,5,5,3,3
3661,5,5,5,5,5,3,3
3666,1,3,2,4,2,3,3
3686,5,5,4,4,3,3,3
3687,4,3,3,3,5,3,3
3688,5,5,4,3,5,3,3
3690,5,4,3,3,4,3,2
3694,5,5,4,5,5,3,3
3695,5,5,5,5,5,3,3
3696,4,5,5,5,4,3,3
3697,4,4,5,5,4,2,3
3706,5,5,4,4,5,3,3
3707,5,4,3,5,5,3,3
3708,5,5,3,5,5,3,3
3712,5,3,2,5,5,3,3
3744,3,3,3,5,4,3,3
3745,5,4,3,5,4,3,3
3746,5,3,3,5,5,3,3
3748,4,3,3,2,5,3,3
3749,4,4,3,2,5,3,3
3750,3,5,5,5,3,3,3
3770,5,3,5,5,5,3,3
3795,5,5,5,4,5,3,4
3857,5,5,3,5,5,3,3
3865,5,3,2,3,4,3,4
3882,4,5,4,5,3,3,3
3890,4,3,5,3,5,3,3
3891,3,3,3,3,5,3,3
3906,5,5,5,3,5,3,3
3929,5,5,5,5,5,3,3
3935,5,5,4,5,5,3,3
3943,5,5,5,5,3,3,3
3945,5,5,3,5,5,3,3
3946,5,5,5,5,5,3,3
3947,5,5,4,4,5,3,3
3948,4,5,5,5,5,3,3
3968,5,5,4,5,5,3,3
3971,5,5,5,5,5,3,3
3973,5,5,3,5,5,3,1
3974,3,5,3,5,5,2,2
3976,5,5,5,5,5,3,3
3978,5,5,3,5,5,3,3
3995,5,5,3,5,5,3,3
3996,5,5,3,5,5,3,3
4007,5,5,3,5,5,3,3
4008,4,5,4,5,4,3,3
4009,5,5,5,5,5,3,3
4037,5,4,3,5,5,3,2
4038,4,5,4,5,4,3,3
4039,5,5,4,5,5,3,3
4040,2,3,3,5,3,3,2
4041,1,3,3,3,1,3,3
4043,2,3,3,3,3,3,2
4045,5,5,3,3,5,3,3
4046,3,3,3,2,3,4,2
4060,5,5,5,5,5,3,3
4062,2,5,5,3,3,3,3
4073,5,3,3,5,5,3,3
4075,4,5,4,5,4,3,3
4111,5,4,5,5,5,3,2
4115,5,3,5,5,5,3,3
4116,5,3,3,4,5,4,2
4136,5,4,5,5,5,3,3
4138,3,4,5,5,5,3,3
4153,5,4,5,5,5,3,3
4182,5,4,5,5,5,3,3
4185,5,5,3,5,4,2,2
4214,3,3,3,3,3,2,2
4221,5,5,5,5,5,3,3
4246,5,3,2,5,5,3,4
4281,4,3,3,4,5,3,3
4282,4,3,5,5,3,3,2
4283,4,5,5,3,3,3,3
4284,5,5,5,5,4,3,3
4285,5,5,5,5,3,3,2
4286,5,5,5,4,5,3,3
4291,5,4,5,5,5,3,3
4292,5,4,5,5,5,3,3
4293,5,4,5,5,5,3,3
4294,5,4,5,5,4,3,3
4313,5,5,5,5,5,3,3
4314,5,4,5,4,5,3,3
4315,5,4,5,5,5,3,3
4316,5,4,4,5,5,3,3
4317,4,5,5,5,5,3,3
4319,5,5,5,5,4,3,3
4320,5,5,5,5,4,3,3
4331,3,3,3,5,4,3,3
4334,3,3,3,5,3,3,3
4335,5,4,5,5,5,3,3
4337,5,5,4,5,5,3,3
4344,3,5,5,3,3,2,2
4348,4,5,5,5,5,4,3
4349,5,4,5,5,5,3,3
4352,3,3,3,4,5,3,3
4361,5,5,5,5,5,3,3
4372,5,5,4,3,5,3,3
4397,5,5,2,5,5,3,1
4398,5,5,4,5,5,3,3
4443,5,5,5,5,5,3,3
4446,4,3,3,5,5,3,3
4463,5,5,5,5,5,3,3
4487,5,5,5,3,4,3,3
4508,5,5,5,5,5,3,4
4515,5,5,5,4,4,3,3
4531,5,5,4,5,5,3,3
4546,4,5,5,5,5,3,3
4547,5,5,5,5,5,3,3
4548,5,5,5,5,3,3,3
4551,3,5,5,5,5,3,3
4574,5,5,5,5,5,3,3
4585,5,5,2,5,5,3,3
4592,5,5,3,5,5,3,3
4593,5,5,5,5,5,3,2
4611,5,5,5,5,5,3,3
4629,5,5,5,5,5,3,3
