id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
4285,4,5,5,4,4,3,3
4286,4,5,5,4,4,3,3
4291,5,4,3,5,4,3,3
4292,5,3,4,5,4,3,3
4293,4,3,4,4,3,3,3
4294,4,3,4,5,4,3,3
4313,5,3,4,5,4,3,3
4314,4,3,4,5,4,3,3
4315,4,3,4,5,4,3,3
4316,4,4,3,4,3,3,3
4317,3,4,3,4,3,3,3
4319,4,4,5,4,3,3,3
4320,4,4,5,4,3,3,3
4331,2,2,3,5,4,3,3
4334,4,3,2,4,3,3,3
4335,5,4,3,5,3,3,3
4337,4,5,2,5,4,3,3
4344,3,4,2,3,3,3,3
4348,2,3,4,5,3,3,3
4349,5,4,2,3,4,3,3
4352,3,3,5,3,3,3,3
4361,4,4,2,3,3,3,3
4372,4,4,2,4,3,3,3
4397,4,4,3,4,3,3,3
4398,5,3,2,5,3,3,3
4443,4,4,2,4,3,3,3
4446,4,3,3,4,4,3,3
4463,5,5,2,5,4,3,3
4487,3,5,2,2,3,3,3
4508,4,4,3,4,4,3,3
4515,4,4,3,4,3,3,3
4531,5,3,3,5,5,3,3
4546,3,3,2,4,4,3,3
4547,4,4,2,5,3,3,3
4548,5,3,3,3,3,3,3
4551,2,3,4,4,3,3,3
4574,5,3,5,5,3,3,3
4585,4,3,1,3,3,3,3
4592,5,4,3,5,4,3,3
4593,5,4,3,5,4,3,3
4611,5,5,5,4,5,3,3
4629,5,4,3,4,3,3,3
