id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
4214,11,12,11,11,12,16,11
4221,20,17,14,18,18,12,11
4246,15,10,6,13,15,11,14
4281,17,13,10,12,14,12,9
4282,15,13,20,17,12,16,9
4283,17,20,20,12,15,12,12
4284,20,20,20,19,16,12,12
4285,18,20,20,19,13,12,10
4286,19,20,20,17,18,12,12
4291,20,16,15,16,16,14,10
4292,20,14,16,18,16,14,12
4293,18,13,17,16,15,12,10
4294,19,14,17,18,15,13,10
4313,20,14,17,17,16,12,12
4314,17,14,17,16,16,13,12
4315,18,14,17,17,16,12,12
4316,18,14,12,16,15,14,12
4317,13,17,12,15,14,12,12
4319,17,15,20,19,16,12,12
4320,19,15,20,19,14,12,13
4331,8,10,11,17,14,12,12
4334,17,11,10,15,12,13,12
4335,19,15,13,18,15,12,12
4337,18,18,11,19,17,12,10
4344,11,18,14,10,12,9,9
4348,11,15,18,20,15,14,12
4349,20,15,15,17,17,12,12
4352,13,12,16,16,15,12,13
4361,15,18,13,16,16,13,13
4372,19,16,12,14,15,12,11
4397,19,19,14,16,14,12,9
4398,20,14,12,16,14,13,12
4443,19,15,13,16,15,14,12
4446,15,10,11,16,15,14,11
4463,20,20,12,18,15,13,12
4487,15,20,11,8,14,16,11
4508,19,18,12,18,15,12,11
4515,19,13,13,13,14,14,11
4531,20,16,12,19,19,12,12
4546,15,14,13,15,15,11,12
4547,18,16,10,18,15,13,12
4548,18,14,14,16,11,13,12
4551,11,14,15,15,15,14,10
4574,20,14,16,18,15,13,12
4585,19,16,7,15,14,13,12
4592,20,18,9,18,17,13,12
4593,20,17,14,17,17,15,10
4611,20,18,15,18,18,12,11
4629,18,17,14,16,15,14,13
